75	77	69	98	90	88
4	42	3	49	6	45
71	55	77	53	72	5
98	93	56	11	79	91
54	78	27	76	51	52
63	83	64	76	91	57
26	62	94	79	70	76
9	25	2	8	38	41
92	66	93	70	97	82
43	14	34	86	27	11
29	19	48	36	97	15
54	10	61	59	97	96
37	75	58	70	91	82
81	89	58	65	70	91
98	58	40	93	90	88
43	35	50	28	6	52
78	99	62	96	39	73
54	4	98	76	57	88
81	93	59	51	96	38
43	9	49	79	46	20
37	80	99	87	91	73
7	26	25	85	27	30
43	47	14	55	29	41
6	60	66	80	84	90
85	32	42	11	12	20
80	89	70	5	90	57
43	55	40	36	41	22
63	25	50	27	36	44
86	74	59	97	33	73
17	62	49	21	8	15
31	35	13	29	70	49
68	80	74	27	76	85
43	54	67	58	99	52
54	47	67	89	88	82
31	32	10	27	16	87
24	45	92	11	39	1
10	16	65	49	21	1
9	16	93	21	15	20
54	75	83	61	91	45
4	63	49	39	33	24
68	9	58	76	51	57
71	35	61	99	64	93
75	55	78	28	79	88
78	74	99	87	94	82
40	62	87	95	91	57
26	60	69	58	56	85
47	13	28	65	41	24
100	66	87	59	95	30
71	55	72	87	70	20
71	37	75	55	80	88
77	67	61	97	90	24
78	69	67	79	90	46
43	81	95	51	79	52
7	10	66	15	44	18
92	60	86	89	90	45
63	14	77	93	96	82
23	42	48	11	94	46
7	25	59	11	8	38
4	25	34	81	15	1
71	63	78	69	95	85
23	54	35	32	12	46
92	81	69	65	56	22
42	83	17	48	49	18
46	85	25	15	38	20
53	74	27	95	96	84
26	47	14	54	11	44
32	16	19	11	57	30
9	78	98	67	93	97
26	45	42	81	12	18
78	100	61	97	91	52
26	9	50	27	5	76
68	92	47	66	89	99
9	78	32	21	33	6
54	98	53	93	84	18
23	4	84	17	12	30
10	19	8	15	21	85
13	31	2	96	33	6
37	13	68	3	38	20
20	14	10	2	15	45
7	47	35	81	17	1
71	68	4	67	65	87
63	92	80	74	95	59
71	77	72	94	41	57
54	66	67	64	49	82
35	50	3	40	93	21
88	32	28	41	44	30
90	80	86	76	88	57
53	93	65	17	88	57
92	83	53	93	38	52
73	4	31	35	13	18
75	55	77	98	48	59
60	32	74	97	76	57
78	53	27	87	97	73
24	16	36	41	84	30
34	36	11	5	39	70
66	80	42	97	79	96
100	60	61	94	51	57
43	69	40	28	17	16
32	60	28	17	8	18
14	27	11	5	41	6
78	29	3	27	39	20
26	42	28	93	5	30
92	55	83	95	79	24
60	69	76	49	91	85
50	34	11	38	82	20
23	81	56	79	82	85
7	14	65	41	39	21
84	32	40	16	33	45
23	71	19	41	44	15
92	55	60	64	95	45
7	10	66	16	21	41
60	50	64	87	70	76
43	23	34	70	8	12
1	18	60	39	12	45
42	48	5	38	51	20
18	86	3	16	22	1
43	50	35	48	21	30
92	93	62	95	22	57
43	9	65	8	46	18
47	92	98	93	64	97
68	80	58	99	16	59
75	100	35	69	93	91
13	35	42	40	67	20
43	37	4	72	19	22
68	31	50	21	44	18
20	14	34	11	49	24
26	31	35	5	39	1
43	50	5	15	90	1
4	35	34	16	5	6
100	77	86	27	59	96
63	75	78	95	56	8
43	4	14	48	36	22
31	13	2	67	16	21
10	80	56	96	52	85
31	2	48	87	38	30
33	4	36	79	6	20
43	58	72	95	57	84
68	83	89	93	70	49
43	50	81	40	28	8
71	55	99	36	76	91
43	25	50	65	6	46
20	10	86	16	22	45
36	56	5	39	46	20
9	60	56	70	79	96
14	31	29	89	39	6
63	92	59	51	84	46
3	16	11	97	12	18
13	42	2	59	12	45
26	29	79	39	44	6
4	14	77	17	48	6
98	86	2	76	79	90
75	92	81	96	21	85
54	31	27	28	6	44
78	60	66	55	99	74
92	75	98	2	91	84
9	78	35	32	34	12
43	23	32	42	89	20
68	50	77	99	64	94
63	67	87	11	51	82
86	69	93	15	84	85
26	74	62	97	91	88
31	34	98	21	15	1
77	89	62	51	22	73
71	13	83	80	74	57
