54	100	62
68	61	38
71	23	95
78	60	91
14	16	20
58	76	51
99	87	96
99	65	15
42	28	51
26	11	20
45	79	20
86	81	97
72	59	30
31	32	27
68	93	59
11	21	46
29	64	65
34	39	45
7	31	40
100	74	30
75	62	6
60	72	93
63	95	59
59	79	20
83	74	76
27	41	38
40	19	49
37	8	33
54	89	65
5	15	18
34	69	65
47	17	18
37	29	20
66	98	88
23	11	49
68	63	91
69	79	51
62	94	82
9	3	48
51	96	57
53	39	38
55	79	96
14	22	39
71	98	97
74	65	6
75	72	88
60	89	73
71	87	97
66	64	88
70	94	91
69	91	73
25	99	87
4	8	41
80	93	73
31	32	72
43	4	32
98	17	8
74	16	76
58	59	79
42	17	62
36	96	45
66	64	84
71	86	11
9	68	42
75	28	46
92	50	10
64	97	52
68	92	90
60	62	95
26	48	49
23	92	73
72	19	88
77	76	20
37	12	30
36	6	1
80	87	57
31	2	53
81	40	95
71	87	70
69	70	21
40	21	91
73	97	85
9	13	40
58	15	18
67	19	62
44	33	45
43	6	1
13	29	1
100	51	90
49	90	88
43	9	56
54	100	52
23	4	1
14	3	95
58	64	84
23	37	18
68	57	6
98	28	51
68	79	38
55	98	72
63	78	64
77	39	90
54	6	73
13	48	39
14	50	33
26	89	20
83	70	90
2	53	8
77	93	90
83	61	57
4	35	32
43	68	25
93	64	94
37	28	5
42	28	17
74	93	21
9	31	15
47	49	21
40	22	30
67	64	96
37	10	27
83	97	79
35	42	3
67	65	57
31	38	39
17	39	46
32	41	24
53	95	97
87	97	96
67	57	85
71	100	76
32	36	22
86	61	51
77	29	33
55	81	94
53	87	59
68	52	33
80	58	89
40	49	5
61	94	88
84	12	24
74	28	76
56	59	82
100	58	79
31	19	16
37	67	90
7	33	44
14	32	6
92	99	79
89	87	52
75	64	87
54	62	90
72	62	22
68	77	19
42	36	5
78	55	85
24	15	30
40	38	18
78	72	93
68	69	6
32	46	20
50	28	15
68	83	98
75	55	69
40	17	15
81	59	95
86	99	85
98	58	57
100	89	64
54	51	91
26	51	73
43	14	3
43	95	12
86	76	24
86	29	64
81	58	94
58	82	57
23	19	39
78	66	51
55	66	82
37	16	19
87	82	73
78	79	91
46	44	45
26	13	2
23	16	21
78	32	98
69	67	79
78	8	85
19	21	22
31	29	19
71	83	82
77	16	45
68	53	49
50	44	33
95	79	73
89	58	22
50	5	44
14	3	12
28	44	45
63	31	64
92	86	72
23	3	28
35	29	2
77	44	30
72	56	52
9	97	24
3	15	20
9	33	73
37	25	39
63	54	55
7	42	58
26	19	48
77	38	45
4	78	10
55	84	82
71	75	70
10	16	24
13	50	16
81	93	65
83	56	52
98	96	44
83	51	84
68	25	8
19	22	41
78	97	39
50	39	18
4	42	39
87	96	57
23	25	50
74	96	84
25	2	36
75	32	81
50	81	38
47	32	11
100	3	70
68	67	90
55	86	84
63	54	80
86	33	73
59	76	91
1	38	30
23	3	33
92	64	65
66	19	1
4	13	41
2	17	46
1	94	73
69	58	70
66	74	73
23	40	46
7	65	95
62	87	94
77	34	79
8	21	41
71	61	59
76	22	44
53	87	88
4	81	1
29	16	8
23	8	18
63	89	87
92	80	82
53	36	15
71	83	12
16	87	90
26	96	88
23	32	40
19	8	21
29	11	8
78	66	17
78	99	96
50	84	73
31	6	24
38	41	44
63	50	5
23	10	2
13	6	24
25	77	61
37	19	57
68	42	95
66	58	99
58	89	56
77	99	94
34	5	57
89	28	64
9	28	33
7	25	11
67	96	39
43	42	1
55	70	84
67	79	88
72	74	88
100	42	58
75	97	76
47	4	40
92	100	66
26	28	16
86	67	51
32	28	12
71	31	2
99	51	5
71	62	57
75	83	74
100	94	84
95	41	1
75	67	58
4	49	44
20	27	30
35	6	44
60	51	91
100	76	18
25	31	18
77	58	95
55	59	12
78	10	79
71	55	51
23	66	62
59	11	79
72	87	97
4	31	15
58	59	91
38	12	45
75	89	61
69	84	91
65	97	38
28	17	11
77	58	57
66	95	84
9	32	30
83	64	57
26	9	32
23	9	4
86	90	52
28	21	12
80	58	51
80	61	84
47	3	41
75	83	76
28	76	91
78	74	99
50	35	19
23	46	44
51	88	85
86	58	79
40	72	76
37	50	40
7	47	38
86	58	82
14	42	30
68	10	45
100	70	97
68	9	80
34	28	19
60	33	73
78	93	96
92	77	56
47	2	8
97	96	88
86	81	89
62	90	33
95	94	76
13	48	44
61	52	33
100	55	91
35	98	44
10	50	44
25	14	41
26	47	46
19	17	24
71	63	29
92	15	52
7	67	27
68	61	5
43	86	36
26	44	12
68	94	85
34	19	36
74	65	82
71	54	36
71	56	97
42	28	44
26	46	30
54	68	88
75	90	84
60	36	52
84	91	52
43	69	46
89	5	84
78	58	65
50	79	12
75	76	45
37	13	50
4	64	70
25	34	30
7	47	45
3	39	24
100	58	36
78	67	57
4	5	20
71	54	69
78	3	96
23	40	45
42	29	27
71	69	85
68	72	57
37	3	22
9	27	1
54	60	83
92	53	56
100	75	96
71	31	53
71	79	76
87	76	52
34	19	49
81	57	84
4	78	64
2	76	45
77	80	74
13	50	5
56	90	84
7	72	62
13	14	38
9	17	38
31	87	1
54	81	70
13	77	79
42	8	6
75	14	80
25	55	12
5	41	46
37	19	20
54	97	84
92	75	87
72	79	6
77	49	96
65	56	51
42	27	17
43	26	97
75	91	90
35	27	6
25	3	20
23	4	19
43	37	29
25	49	22
66	97	85
40	59	73
80	59	88
32	96	33
9	29	17
35	27	1
10	29	21
28	36	46
4	13	19
40	3	41
27	44	20
68	83	16
9	19	96
94	52	91
47	48	1
71	68	70
7	2	27
72	65	84
55	69	87
78	95	96
14	61	36
32	58	21
4	35	34
4	28	36
80	89	99
17	11	22
19	48	8
77	59	73
8	15	33
64	65	17
43	72	45
37	35	24
69	79	76
98	22	91
66	81	79
26	62	45
63	64	51
36	39	30
31	35	5
47	31	60
25	51	39
14	3	27
43	29	49
50	34	39
35	17	41
10	27	8
4	3	82
7	39	44
29	27	48
54	77	62
37	10	38
37	48	5
54	65	94
69	40	28
35	16	48
29	58	5
55	83	88
43	31	28
53	27	8
14	34	5
78	51	18
80	72	79
43	77	1
60	83	81
10	35	20
28	11	44
50	32	18
27	48	20
60	29	21
14	32	29
81	56	52
10	34	70
32	81	51
100	92	53
87	62	46
68	98	5
58	28	88
10	46	1
69	58	56
71	67	79
48	21	12
75	99	96
37	42	3
2	40	30
80	89	87
63	64	90
63	80	5
85	6	20
92	100	64
7	4	19
87	70	82
9	40	24
25	2	3
98	62	76
54	75	86
94	11	82
60	83	51
37	35	6
71	67	95
85	80	73
100	66	67
9	94	39
2	41	21
40	36	30
63	98	90
99	70	57
55	80	85
60	27	17
10	17	96
48	59	85
1	6	30
92	75	82
68	75	58
89	97	84
31	80	17
83	76	84
35	61	52
80	89	51
17	41	45
92	96	90
64	82	84
7	47	83
26	25	30
80	53	73
37	13	21
53	94	88
5	33	30
14	35	21
4	79	46
74	59	52
72	96	84
80	74	87
56	97	51
60	81	76
10	5	24
74	65	91
83	61	79
86	99	64
89	99	76
43	28	6
9	53	73
25	15	38
68	60	66
71	83	38
98	79	85
3	16	17
65	59	57
34	8	44
66	81	86
7	46	91
7	4	49
10	5	85
47	84	88
37	29	45
47	17	5
26	4	33
71	9	18
54	59	94
60	8	41
68	50	96
8	12	18
63	98	97
23	34	15
32	80	89
75	91	84
23	29	17
35	36	30
60	83	84
7	94	33
32	3	76
43	96	12
63	96	18
98	64	97
42	28	6
55	76	21
2	19	6
68	74	62
78	77	74
35	77	69
4	15	38
71	89	59
34	44	6
51	84	18
7	33	45
