47	75	86	67	72
30	35	42	6	33
29	36	17	5	39
63	92	2	72	97
100	55	53	99	6
63	67	61	94	51
9	40	49	44	45
67	74	70	76	84
92	78	89	99	97
71	100	99	64	94
68	78	67	59	88
83	89	62	87	21
2	93	11	5	15
7	54	50	42	34
23	31	66	48	44
9	32	66	5	21
63	66	89	3	59
13	32	42	16	28
20	26	73	33	1
10	40	67	48	11
29	80	38	15	39
63	86	89	98	79
27	19	64	8	5
63	92	99	93	90
7	9	25	42	6
35	83	86	74	57
31	35	32	40	6
55	10	86	98	94
9	37	3	70	46
73	77	67	91	84
19	65	5	49	45
92	69	53	94	96
20	47	28	11	1
92	53	86	5	90
71	31	67	74	97
37	32	21	22	84
23	74	87	79	84
55	29	67	95	79
100	55	97	41	82
43	47	50	10	3
13	40	27	99	1
9	50	35	40	39
77	89	65	56	96
14	17	21	91	24
24	18	35	8	45
61	94	49	57	82
3	17	64	38	18
23	40	19	79	15
54	83	66	89	64
9	16	15	6	38
32	66	65	76	82
68	10	83	86	98
34	48	5	15	20
26	68	69	67	65
60	77	72	59	91
88	99	65	84	73
63	77	80	97	85
100	86	53	93	52
54	89	62	96	57
68	4	99	70	82
92	55	64	36	97
75	80	89	94	15
75	83	58	62	6
86	27	36	21	20
40	48	11	33	45
3	72	36	15	22
12	65	97	91	88
32	42	29	28	41
32	66	3	48	17
32	3	41	96	30
9	78	32	39	24
98	72	61	62	5
7	81	67	99	51
25	42	61	21	18
68	25	50	12	46
23	26	11	52	45
68	37	55	96	88
61	51	96	52	30
77	53	93	52	24
31	80	39	6	15
9	10	40	8	38
78	80	94	51	88
26	68	77	96	84
14	42	29	28	97
50	83	69	67	79
43	14	98	36	18
55	89	64	44	73
4	14	17	39	18
54	83	59	56	94
53	29	93	59	79
4	50	36	5	21
42	3	87	6	46
60	29	19	48	46
9	100	75	77	59
78	60	99	62	82
81	80	51	91	90
25	55	42	5	15
23	31	42	29	1
23	9	13	27	22
75	66	98	87	70
23	73	49	33	24
47	78	75	76	52
39	14	21	46	33
78	50	32	5	39
61	59	94	79	82
77	69	3	99	73
78	70	96	90	91
42	74	56	94	52
63	77	87	95	59
60	34	3	27	17
71	25	59	51	73
9	2	3	27	46
7	2	41	15	90
68	86	72	52	45
14	2	74	28	6
45	16	5	90	20
9	29	27	36	11
54	19	39	21	45
54	63	4	76	88
31	60	69	61	99
31	83	95	79	84
4	2	67	38	44
78	89	72	59	88
67	74	93	22	90
68	75	92	80	3
23	42	95	15	18
26	23	7	61	36
54	100	34	74	57
43	78	49	38	15
35	28	17	21	33
75	86	99	82	57
23	43	13	34	64
4	25	3	97	24
63	47	67	95	90
13	67	99	82	52
7	81	3	19	11
25	35	50	61	30
13	31	35	36	5
7	28	48	51	21
7	55	94	97	90
37	14	2	57	45
66	77	74	28	65
68	54	93	90	20
25	50	40	56	22
2	89	11	21	30
55	3	56	94	84
32	40	48	56	21
54	74	70	22	91
71	53	74	59	6
100	89	93	59	85
37	25	3	17	49
83	80	86	99	96
98	53	64	65	30
54	86	95	79	45
24	16	5	22	30
7	47	2	11	18
81	65	97	15	91
23	47	9	35	8
66	64	70	76	84
87	59	97	84	24
7	32	94	22	20
55	34	67	64	56
71	75	31	72	85
54	50	66	74	99
23	31	13	19	22
7	26	34	28	1
2	16	22	12	45
98	81	87	88	33
99	93	72	59	28
14	34	38	57	45
35	34	16	97	49
45	10	34	81	18
37	10	29	86	45
32	34	28	46	20
4	78	29	21	41
63	14	86	58	74
63	75	31	97	79
47	37	81	36	5
55	62	36	79	90
50	3	28	17	6
71	78	74	64	91
100	19	65	76	52
78	83	69	65	56
