4	9	37	16	21
63	100	60	76	57
83	99	87	41	52
98	69	89	40	65
47	16	93	5	33
4	28	48	46	57
34	98	16	49	21
47	77	95	84	73
45	10	40	22	1
71	75	64	76	18
18	100	35	48	20
77	53	99	70	39
47	25	60	46	6
43	50	93	11	12
26	23	16	15	45
23	9	2	19	94
7	17	70	5	18
54	35	99	51	85
98	69	64	59	70
54	62	70	11	73
37	34	2	40	22
23	31	27	48	82
24	10	22	33	18
71	86	58	87	52
25	42	5	79	33
25	31	15	6	85
60	69	74	16	97
78	93	22	57	73
47	51	22	38	30
75	66	87	56	95
60	58	93	28	51
43	55	56	94	91
37	32	49	38	41
9	10	58	17	15
78	83	29	56	91
4	31	9	11	82
31	40	5	39	84
75	67	74	40	95
9	25	19	15	52
68	81	58	99	87
53	67	72	95	73
18	47	83	48	1
47	35	40	59	41
71	9	69	67	95
92	98	53	69	79
23	1	25	8	45
71	77	80	53	46
42	98	59	56	96
63	64	49	91	90
50	34	35	55	49
81	95	41	90	52
92	58	74	65	56
42	34	28	95	22
81	80	29	96	57
37	13	36	22	84
71	53	89	62	94
4	35	34	94	12
34	3	72	16	39
63	69	72	91	6
89	61	97	91	30
25	40	15	39	24
100	89	93	96	73
30	75	69	52	57
23	13	55	27	16
71	92	50	93	57
47	29	86	11	44
30	80	79	96	73
13	14	56	22	38
4	31	13	34	54
92	55	42	74	52
30	37	50	96	18
23	47	42	87	41
26	34	19	97	20
26	45	38	39	1
66	74	99	70	84
23	50	19	8	38
34	79	15	38	30
6	92	99	91	82
7	53	40	6	20
23	73	35	46	44
37	25	10	79	6
2	61	21	41	20
37	10	34	5	51
23	26	31	50	11
71	54	92	64	48
71	53	94	76	85
7	43	53	8	24
63	83	99	74	30
1	54	13	25	45
68	100	25	81	67
92	81	69	99	16
54	100	99	19	90
26	64	49	44	20
60	89	72	61	58
23	29	27	8	21
17	65	11	49	8
68	53	56	51	96
23	25	32	34	40
54	75	58	67	95
63	25	53	51	91
26	29	94	49	24
54	55	61	91	30
63	14	59	57	82
35	77	98	62	85
20	78	87	90	84
92	74	17	52	57
23	9	32	27	49
31	80	40	17	8
25	31	61	16	36
100	42	99	93	79
9	55	80	72	88
68	55	80	76	1
9	47	16	65	8
68	83	3	61	73
50	35	36	6	1
61	62	76	8	90
100	92	61	70	39
92	42	53	70	84
26	47	68	41	46
77	86	79	57	12
78	53	98	99	97
23	32	35	80	18
65	95	70	84	85
92	53	98	99	93
80	27	62	84	52
43	26	58	49	41
57	80	96	88	52
75	80	98	86	82
30	43	26	39	45
78	74	27	64	91
34	40	19	21	85
14	83	80	69	96
75	92	97	22	90
57	98	96	91	85
7	47	13	2	98
23	68	55	51	52
34	48	95	39	21
78	10	94	57	84
54	50	62	94	73
92	80	94	41	52
71	2	39	6	18
26	11	38	82	18
4	14	25	11	5
83	64	79	52	57
7	26	41	82	18
47	42	72	48	45
92	98	67	99	73
60	66	74	28	65
9	10	69	44	33
7	23	25	28	12
47	14	70	15	44
14	83	67	94	90
4	42	94	39	38
43	25	35	36	51
32	10	35	76	20
13	81	3	46	18
18	32	2	33	24
55	67	58	57	6
4	60	3	36	46
7	29	48	6	46
23	78	69	56	94
26	32	8	44	18
13	3	11	12	91
61	74	65	87	84
80	58	62	95	12
81	65	62	51	45
81	58	27	84	90
4	47	89	16	21
92	81	67	62	73
7	14	77	40	20
42	70	39	6	12
75	69	98	40	96
68	92	53	52	1
37	17	49	90	30
10	35	2	60	15
80	74	36	97	96
71	66	51	88	24
1	78	79	91	85
34	48	15	22	88
81	69	53	59	12
68	77	16	65	88
85	81	61	65	73
47	50	67	11	12
63	80	94	76	91
53	58	80	51	6
50	10	40	70	1
14	8	39	44	38
71	17	70	79	88
3	16	17	51	24
80	67	98	94	88
26	80	61	56	90
4	50	72	15	22
71	47	14	5	22
75	13	59	91	85
43	3	41	12	44
63	78	80	21	91
13	31	38	21	82
77	86	17	97	88
53	61	96	90	52
32	34	36	22	20
43	17	49	39	20
83	40	74	94	84
69	72	41	82	85
40	99	16	5	33
54	58	65	96	18
31	74	8	39	15
9	4	10	70	49
1	54	80	82	73
75	64	56	88	1
35	55	3	40	49
27	16	48	72	44
59	94	51	97	88
75	53	29	87	64
45	73	5	41	18
58	27	65	79	82
13	83	80	93	79
100	66	64	56	44
77	69	15	88	73
7	42	2	5	44
4	27	87	39	38
32	3	27	74	38
43	23	10	3	94
78	77	2	76	73
43	37	13	50	68
26	50	16	46	84
80	61	27	59	88
13	86	64	79	82
68	14	32	36	15
77	69	99	41	57
80	98	58	82	88
14	42	67	38	1
23	50	35	42	51
