30	69	93	87	52	73
32	66	61	97	70	57
100	42	81	97	96	90
84	32	3	16	44	18
25	2	16	28	41	84
92	83	19	97	51	82
71	55	64	70	88	85
26	23	47	35	68	15
23	13	50	19	8	21
47	14	9	29	36	21
68	32	66	77	64	52
18	2	27	72	17	30
35	61	65	79	52	85
63	55	89	76	51	88
37	13	66	40	38	46
2	58	28	48	16	11
71	86	61	70	96	82
45	66	86	83	90	73
67	99	51	39	88	85
47	74	19	8	49	44
47	19	36	11	6	57
71	44	67	74	90	85
92	86	53	99	87	90
23	9	19	79	21	18
23	47	31	2	44	20
71	68	86	62	70	90
77	98	93	95	49	91
27	99	8	15	33	44
71	55	66	58	70	21
10	34	35	36	41	1
32	19	65	11	41	30
23	37	91	38	39	24
75	55	98	81	86	82
7	62	49	21	5	30
35	32	16	5	38	8
92	74	65	70	76	84
100	55	5	96	88	52
71	100	67	61	5	90
78	98	87	95	64	84
88	14	10	21	22	46
32	50	5	39	8	22
47	9	29	16	41	6
14	10	2	40	46	20
63	60	83	64	65	73
77	86	81	66	56	57
54	83	98	34	62	95
9	100	11	39	46	30
25	34	8	41	6	22
81	36	5	21	44	38
37	13	32	28	19	41
23	7	37	83	36	1
26	10	42	29	3	89
37	25	10	49	8	73
60	77	94	76	96	46
100	74	87	56	79	52
37	31	48	11	33	18
35	66	2	27	16	21
25	31	65	38	46	33
25	10	29	39	33	30
15	44	16	41	38	45
71	10	86	58	72	95
43	77	36	17	39	1
83	67	87	70	76	52
100	60	92	67	39	52
7	47	10	3	40	36
26	10	66	2	44	1
26	100	32	42	8	15
7	47	32	2	36	49
71	63	98	81	99	97
33	31	13	41	44	6
54	63	75	66	95	85
68	25	40	5	8	21
55	42	87	95	70	85
12	32	50	19	33	46
44	92	29	15	46	38
55	61	59	94	79	85
73	13	81	51	82	52
23	80	62	64	91	90
14	35	28	36	41	20
23	9	1	34	42	18
68	60	83	89	40	93
100	98	89	59	41	84
43	13	86	27	11	46
4	32	42	50	41	57
26	37	96	39	12	45
32	10	34	27	11	8
47	50	3	16	22	12
55	83	67	99	96	82
3	28	36	48	8	1
7	9	18	16	38	20
9	13	35	32	21	46
7	81	95	70	88	84
91	83	53	41	84	57
35	29	3	74	5	22
46	25	35	8	33	20
26	10	42	36	17	38
55	69	67	74	62	82
7	92	55	66	98	76
92	66	98	86	70	20
54	29	59	96	57	88
9	92	80	98	64	88
47	37	2	64	39	44
24	40	19	48	8	30
63	92	86	48	56	96
100	86	64	94	76	57
7	9	16	41	82	45
26	10	3	19	59	30
9	98	69	87	51	85
26	25	50	31	61	6
78	75	67	74	58	82
54	53	58	72	87	73
63	92	83	89	64	65
47	25	37	68	5	18
100	60	61	56	79	5
24	1	50	29	8	20
66	74	99	64	97	88
9	78	27	8	22	6
63	10	34	19	22	45
55	83	86	58	99	22
63	66	62	21	90	85
45	47	37	70	22	30
14	50	99	48	33	45
54	53	94	79	96	18
63	64	56	94	51	20
4	25	10	79	15	21
7	25	35	28	17	24
41	88	13	39	15	18
54	75	78	69	58	51
37	50	86	8	12	30
26	13	97	15	12	45
23	14	42	5	39	12
31	13	60	27	36	21
83	53	80	94	46	73
71	75	35	69	65	97
54	100	81	74	61	87
34	66	40	36	11	8
92	58	95	51	76	49
43	9	25	13	40	5
43	9	19	39	12	20
68	92	100	77	69	52
78	98	58	94	51	11
44	30	14	3	46	45
35	48	36	70	33	20
75	98	74	64	96	39
25	29	36	21	84	20
73	13	32	8	49	30
68	55	66	56	82	46
71	69	58	99	88	46
9	14	65	15	41	20
54	9	55	77	97	57
43	47	82	50	33	24
20	69	67	94	88	73
31	34	2	17	8	30
55	83	69	77	72	85
35	42	34	29	36	24
37	2	27	70	49	1
42	77	48	49	22	6
71	78	55	64	62	88
82	58	99	70	91	73
37	92	3	15	6	45
40	16	11	8	39	73
63	66	86	64	59	70
71	24	83	70	57	82
25	35	32	28	93	41
81	65	59	94	76	36
68	78	86	72	36	97
26	9	36	8	33	20
4	31	58	22	15	39
20	37	13	24	12	45
75	99	61	95	79	85
75	86	58	67	56	90
55	74	93	64	79	84
68	86	69	70	90	91
25	50	40	27	48	20
7	42	19	17	33	45
50	2	27	22	6	88
7	50	29	87	15	24
26	67	11	5	12	20
7	24	90	41	22	1
71	100	50	51	82	90
68	2	61	62	51	96
63	69	76	96	84	1
9	69	62	56	76	82
84	77	59	95	57	73
54	32	83	81	77	98
55	60	80	65	79	73
84	92	100	98	57	85
83	28	36	49	33	45
78	69	40	74	87	52
25	3	8	38	90	24
20	36	56	41	44	18
23	26	31	78	34	19
23	47	63	16	5	41
60	72	62	48	84	85
81	29	95	96	57	84
4	13	35	19	15	30
26	78	50	32	11	49
71	66	61	56	79	82
47	32	11	49	21	41
9	67	89	74	76	84
100	83	98	93	94	41
47	4	42	40	16	49
92	80	67	89	62	82
71	68	26	95	96	91
77	67	93	56	79	76
7	47	3	40	49	96
78	2	3	40	8	1
13	80	56	59	96	57
80	58	89	94	79	96
63	61	72	62	76	82
75	66	53	96	90	85
54	60	80	89	65	62
18	31	40	97	21	20
68	55	93	62	95	52
23	9	25	11	5	15
7	42	77	36	15	38
23	71	50	16	5	49
47	50	40	16	94	39
6	3	49	15	12	33
78	69	95	97	56	22
73	37	50	42	36	20
37	100	55	83	78	93
100	80	58	94	41	88
71	53	93	70	82	85
71	68	75	62	96	12
63	54	74	62	94	76
92	13	77	59	51	73
23	78	55	81	70	57
23	37	31	42	2	27
47	14	37	40	15	1
60	81	98	99	51	73
37	47	36	17	88	18
45	4	34	98	17	1
92	69	89	80	15	90
7	78	2	27	12	6
68	78	75	66	31	90
71	31	86	96	88	85
25	66	99	95	97	88
50	77	62	79	90	85
54	75	2	99	95	70
31	69	28	8	46	24
71	63	91	9	57	84
7	31	40	61	11	18
30	10	2	38	33	24
29	2	28	11	12	73
68	25	2	16	44	20
54	100	80	99	59	82
71	66	69	65	79	18
92	60	81	93	79	88
54	78	63	66	83	82
14	92	42	36	15	22
7	35	65	41	44	33
14	66	58	59	51	85
38	55	16	22	12	46
30	19	5	21	33	20
47	40	48	5	8	20
43	4	26	34	11	1
68	92	100	66	99	95
7	40	48	17	5	49
43	13	10	56	39	20
20	40	28	15	44	39
63	78	75	66	80	35
60	89	97	79	91	90
52	20	72	97	91	85
1	37	14	4	56	30
68	92	77	65	91	84
63	60	80	69	88	33
32	34	2	16	17	85
63	42	56	97	82	57
23	9	47	31	27	20
33	100	97	96	52	73
7	50	53	48	46	20
100	92	89	72	95	5
68	13	35	15	6	18
63	66	58	72	70	57
63	98	89	93	87	45
91	68	89	11	84	52
71	75	61	93	62	56
82	6	60	95	88	85
7	31	27	72	48	49
89	72	62	87	70	96
43	37	10	34	33	82
100	31	67	58	79	88
71	31	50	21	46	38
78	100	72	64	97	90
78	86	61	72	56	94
71	68	78	77	69	96
1	35	81	36	41	20
13	40	56	49	22	1
33	63	87	97	84	88
91	32	72	74	57	88
71	54	58	61	56	91
31	53	89	72	97	57
54	75	100	81	74	51
43	75	80	61	62	57
71	68	31	81	80	96
43	29	27	15	39	45
20	43	16	17	33	6
24	25	10	15	22	20
4	13	50	42	36	44
47	2	80	5	46	1
23	37	9	36	48	1
63	66	67	61	87	65
9	14	35	37	62	46
9	10	2	69	21	24
4	50	5	22	44	45
92	60	89	72	65	76
63	86	72	65	97	82
23	47	43	35	34	27
7	54	50	15	33	20
13	32	40	27	5	44
23	29	69	36	11	18
33	9	5	39	46	6
23	47	3	17	33	46
37	14	40	3	33	20
55	98	61	87	95	56
62	95	97	64	84	20
26	47	13	34	5	22
23	77	66	74	59	70
54	80	98	97	38	57
