100	81	99	96
68	74	93	36
19	36	64	22
80	15	88	82
23	25	67	46
37	100	78	52
77	67	79	52
35	29	36	48
63	68	93	90
86	59	79	52
43	50	11	97
50	32	64	20
26	7	30	1
14	25	29	1
47	31	48	18
63	40	94	52
9	63	50	1
87	95	96	82
45	25	60	1
100	60	83	74
24	13	40	1
63	78	59	56
32	27	38	41
43	64	22	45
55	53	89	85
54	77	96	90
72	70	96	52
35	39	6	38
61	95	59	76
31	35	75	6
85	50	5	24
63	55	61	52
55	69	62	82
47	13	40	44
61	64	91	6
54	32	8	12
23	81	58	72
32	5	38	15
37	32	61	19
23	10	42	22
40	3	6	85
4	25	13	5
30	14	83	1
52	49	88	90
26	18	14	24
50	16	6	45
68	79	82	52
45	93	49	1
4	42	29	46
86	56	70	91
67	93	51	84
35	16	11	22
78	66	59	52
92	77	65	82
71	66	93	87
100	67	93	65
100	64	57	73
47	50	19	11
55	77	61	56
50	35	27	20
60	77	69	98
7	29	46	33
37	11	49	24
75	58	56	91
83	74	70	73
92	55	77	73
54	55	66	52
4	34	39	73
13	16	36	76
7	80	8	41
31	13	15	6
92	53	33	73
75	60	89	84
98	58	17	94
83	98	58	51
35	36	5	82
37	50	48	15
60	66	70	76
27	28	22	15
54	10	49	39
13	3	11	45
87	62	38	85
14	55	5	46
24	89	8	45
63	83	80	91
37	16	44	18
67	16	11	1
9	10	27	96
66	86	19	64
4	55	48	17
78	60	86	61
60	58	74	65
54	55	74	36
68	69	61	70
77	58	62	95
34	48	94	30
26	53	58	57
14	17	15	24
80	69	91	82
25	32	16	11
10	93	95	59
23	35	48	12
47	4	48	11
30	47	50	24
71	98	59	70
18	2	5	24
31	76	38	44
26	47	93	12
37	53	58	74
71	34	81	90
25	62	12	1
31	38	15	18
71	55	53	56
25	48	41	6
72	64	62	97
92	66	59	20
100	50	80	52
9	32	40	59
23	25	27	49
13	22	46	39
54	100	89	51
14	51	38	20
82	99	84	85
17	87	21	20
43	7	31	20
25	32	12	45
42	16	5	6
61	94	51	88
63	78	61	65
47	40	49	5
54	74	64	52
32	3	19	22
23	31	8	18
78	99	64	56
29	40	11	18
66	86	58	21
43	37	2	20
92	66	17	94
92	89	64	56
65	95	90	91
10	48	11	39
47	50	42	21
100	96	91	38
60	61	27	84
81	58	89	52
75	13	80	89
7	14	94	12
47	55	80	64
63	61	65	96
25	41	15	20
37	16	41	24
10	16	36	56
31	10	32	27
3	79	39	46
9	16	11	30
14	42	33	30
26	9	49	6
5	38	46	30
43	32	35	8
74	59	84	82
78	77	98	93
92	53	89	16
100	32	29	45
100	95	70	90
31	93	87	85
54	53	67	44
26	13	27	82
7	93	8	22
75	100	66	84
69	99	38	57
34	15	41	18
37	25	31	45
69	93	70	84
54	66	62	97
7	27	8	21
77	95	52	90
31	42	22	44
32	42	17	48
13	75	39	18
31	69	17	41
54	83	53	87
47	65	21	12
98	69	64	90
75	86	72	84
34	36	44	45
23	42	64	41
78	87	59	97
31	13	8	33
75	66	67	52
27	59	5	24
37	14	100	42
71	35	59	97
50	86	59	88
31	42	16	1
68	69	58	73
92	60	56	12
37	31	50	15
14	13	3	38
4	75	66	61
92	69	67	57
32	98	15	44
23	50	32	21
63	72	64	97
89	95	52	91
54	75	50	51
67	59	51	82
53	28	62	96
62	97	41	73
68	77	53	74
31	98	44	30
23	71	2	29
70	51	11	91
25	32	34	30
54	67	64	59
89	61	52	82
69	81	16	82
50	32	42	28
4	37	35	18
7	26	13	30
64	76	90	91
74	27	97	88
31	41	12	24
71	78	99	95
10	21	38	30
4	19	21	38
63	98	94	88
23	26	17	30
3	27	41	20
75	100	72	62
14	3	27	52
14	34	27	20
63	55	38	90
83	74	57	24
43	24	19	18
26	35	40	39
35	2	19	48
40	11	8	41
69	74	94	91
51	76	91	85
40	19	33	6
7	63	55	91
54	31	87	56
55	72	90	88
36	70	52	84
63	69	67	62
62	15	41	39
14	50	19	28
43	14	31	29
43	40	22	1
92	69	81	99
10	40	16	21
89	87	90	85
75	81	64	85
4	29	38	46
92	72	65	59
75	55	42	90
2	74	28	15
78	100	50	87
77	16	41	33
83	99	74	28
92	75	93	52
37	42	16	46
55	89	96	91
74	93	94	97
66	65	90	82
9	69	90	88
10	32	99	12
9	66	58	57
58	67	74	3
100	66	82	73
75	64	39	85
60	53	94	96
42	19	41	22
80	58	62	96
26	10	86	39
9	40	28	33
25	86	95	59
23	37	32	12
32	67	17	45
47	54	40	38
27	97	15	41
14	66	16	21
47	13	61	28
4	66	36	41
71	78	56	41
92	55	10	73
32	67	11	8
26	4	31	41
29	72	61	56
13	35	86	24
7	48	39	52
75	83	79	73
14	8	21	30
69	72	70	94
43	4	46	44
61	87	56	52
32	40	19	65
54	100	83	48
100	55	87	84
9	50	3	28
4	31	34	33
37	27	15	38
31	35	21	45
100	60	62	52
11	97	12	20
28	65	22	15
43	29	28	15
10	19	39	46
80	97	96	46
47	21	39	38
68	48	76	52
45	28	62	24
37	13	56	49
10	19	33	30
43	48	41	33
4	36	8	18
71	27	33	6
26	68	40	45
66	62	70	90
71	92	55	79
77	80	82	57
60	86	59	52
98	81	87	97
23	10	93	11
30	28	44	1
55	86	93	57
10	41	46	12
25	34	33	45
85	4	33	20
