20,26,32,50
83,58,163,66
26,36,84,57
80,83,33,87
7,41,17,86
170,89,69,9
7,29,17,66
2,135,7,64
4,60,79,58
80,64,23,54
159,44,27,33
9,80,122,50
26,66,23,49
30,44,4,36
175,66,9,43
17,129,69,60
77,84,121,94
10,84,25,33
7,64,110,9
49,89,86,68
10,83,19,66
101,81,86,36
2,19,69,86
26,44,27,84
135,54,50,178
83,44,87,63
70,19,121,93
44,45,14,19
36,58,17,50
27,93,25,33
100,20,18,28
20,66,121,60
2,31,86,36
77,159,17,23
101,58,28,36
16,26,17,31
107,40,51,64
56,57,71,84
100,159,20,49
135,66,71,36
36,63,19,46
44,45,52,63
100,79,23,61
9,66,125,40
44,67,9,63
77,64,36,89
20,66,69,19
4,44,86,66
71,54,41,60
54,67,50,60
23,50,87,46
10,135,195,49
159,89,71,60
2,58,79,64
100,17,3,32
135,38,77,25
10,135,71,40
49,66,197,36
129,89,25,83
72,115,23,54
77,84,25,89
135,206,195,50
135,67,56,64
83,64,23,54
21,64,11,23
135,66,19,49
113,135,19,66
145,83,71,25
4,36,79,28
70,80,27,61
135,44,3,57
70,58,36,52
135,58,86,50
26,44,9,36
4,206,69,9
42,44,33,134
80,44,40,49
45,50,79,134
105,64,84,50
58,66,9,17
49,67,25,60
10,12,69,27
29,42,36,49
38,44,17,135
45,52,17,87
14,89,19,54
30,44,9,64
41,63,69,86
2,49,88,50
45,50,84,65
70,87,33,49
83,135,19,79
71,42,33,50
100,159,11,36
14,42,16,19
38,89,9,25
38,58,27,86
4,135,77,63
70,10,69,33
159,83,17,25
2,38,7,86
71,135,41,60
2,7,71,86
7,45,25,61
44,58,69,27
2,44,63,64
23,66,11,22
159,58,25,84
101,10,25,66
83,58,17,87
20,67,9,63
135,63,19,57
70,19,110,40
54,66,27,59
129,89,27,83
7,58,69,27
4,71,50,60
135,45,17,40
15,45,69,17
26,44,14,57
2,85,27,86
44,66,121,50
27,33,9,86
45,60,12,58
30,89,9,54
70,44,79,61
44,63,28,49
24,44,7,208
159,29,19,54
145,63,71,23
70,26,3,64
9,58,134,88
16,36,85,86
70,89,9,25
63,67,71,86
23,36,33,87
77,45,84,64
2,41,36,60
70,79,25,49
6,9,50,60
2,44,63,68
38,67,84,56
100,23,22,60
38,89,122,86
84,66,19,94
63,64,71,79
4,115,69,19
22,44,33,56
23,26,47,60
85,42,41,54
